Invoice ID,Date,Customer type,Gender,Product line,Unit price,Quantity,Tax,Total,Payment,City,Discount,Month,Year,Day
531-87-6366,2019-08-13,Member,Female,Sports and travel,30.13,9,13.56,284.73,Credit card,Mandalay,0,8,2019,Tuesday
368-31-9436,2019-09-15,Normal,Male,Sports and travel,99.42,2,9.94,208.78,Credit card,Mandalay,15,9,2019,Sunday
462-62-2289,2019-04-04,Member,Male,Food and beverages,86.23,4,17.25,362.17,Ewallet,Mandalay,15,4,2019,Thursday
440-15-9278,2019-04-19,Normal,Female,Fashion accessories,67.13,10,33.56,704.86,Cash,Naypyitaw,15,4,2019,Friday
194-43-1231,2019-09-28,Normal,Female,Food and beverages,48.68,5,12.17,255.57,Cash,Naypyitaw,5,9,2019,Saturday
581-32-4384,2019-09-09,Normal,Male,Fashion accessories,98.15,4,19.63,412.23,Credit card,Naypyitaw,5,9,2019,Monday
944-32-6630,2019-08-10,Normal,Male,Health and beauty,10.49,1,0.52,11.01,Credit card,Mandalay,0,8,2019,Saturday
667-21-7941,2019-11-16,Member,Female,Health and beauty,54.65,1,2.73,57.38,Ewallet,Yangon,5,11,2019,Saturday
345-51-6901,2019-03-02,Normal,Male,Food and beverages,41.28,6,12.38,260.06,Credit card,Yangon,0,3,2019,Saturday
497-46-3639,2019-10-18,Normal,Male,Health and beauty,45.0,9,20.25,425.25,Ewallet,Naypyitaw,15,10,2019,Friday
477-68-9488,2019-09-10,Member,Female,Food and beverages,63.41,10,31.7,665.8,Credit card,Yangon,5,9,2019,Tuesday
518-81-5297,2019-05-24,Member,Male,Electronic accessories,83.11,1,4.16,87.27,Cash,Mandalay,5,5,2019,Friday
744-48-5220,2019-02-12,Member,Male,Health and beauty,72.36,10,36.18,759.78,Ewallet,Naypyitaw,5,2,2019,Tuesday
638-38-1829,2019-04-08,Normal,Male,Electronic accessories,51.14,1,2.56,53.7,Credit card,Naypyitaw,10,4,2019,Monday
314-79-8234,2019-06-17,Normal,Female,Health and beauty,49.81,9,22.41,470.7,Cash,Mandalay,5,6,2019,Monday
856-87-9819,2019-11-12,Member,Female,Health and beauty,50.83,10,25.41,533.71,Cash,Yangon,15,11,2019,Tuesday
167-53-8618,2019-12-04,Normal,Female,Home and lifestyle,93.33,5,23.33,489.98,Ewallet,Naypyitaw,10,12,2019,Wednesday
229-79-9807,2019-08-29,Normal,Female,Home and lifestyle,74.57,8,29.83,626.39,Ewallet,Naypyitaw,0,8,2019,Thursday
550-85-2688,2019-01-10,Normal,Female,Food and beverages,95.87,10,47.94,1006.64,Ewallet,Yangon,0,1,2019,Thursday
672-98-6977,2019-06-06,Member,Male,Fashion accessories,62.71,7,21.95,460.92,Cash,Naypyitaw,10,6,2019,Thursday
559-41-8097,2019-04-04,Member,Female,Health and beauty,61.99,2,6.2,130.18,Ewallet,Naypyitaw,5,4,2019,Thursday
612-26-6848,2019-08-20,Normal,Male,Home and lifestyle,41.66,3,6.25,131.23,Ewallet,Naypyitaw,0,8,2019,Tuesday
606-64-7474,2019-07-10,Normal,Female,Food and beverages,40.49,8,16.2,340.12,Ewallet,Naypyitaw,5,7,2019,Wednesday
524-82-9434,2019-07-22,Member,Female,Electronic accessories,14.9,9,6.71,140.81,Ewallet,Mandalay,10,7,2019,Monday
172-42-1214,2019-12-07,Normal,Male,Food and beverages,69.85,6,20.95,440.05,Ewallet,Yangon,0,12,2019,Saturday
